ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10059959,HY248703,5/05/2015 22:10,014XX N LAWNDALE AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,2535,25,26,23,08A,1151405,1909127,2015,5/12/2015 12:42,41.90652802,-87.71926866,"(41.906528021, -87.719268662)"
10059881,HY248700,5/05/2015 22:08,001XX W WASHINGTON ST,1330,CRIMINAL TRESPASS,TO LAND,PARKING LOT/GARAGE(NON.RESID.),TRUE,FALSE,122,1,42,32,26,1174895,1900769,2015,5/12/2015 12:42,41.88309937,-87.63323159,"(41.883099367, -87.633231588)"
10059898,HY248708,5/05/2015 22:01,079XX S COMMERCIAL AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,422,4,7,46,18,1197512,1853087,2015,5/12/2015 12:42,41.75172174,-87.55177523,"(41.751721736, -87.551775232)"
10060618,HY248928,5/05/2015 22:00,029XX W DIVISION ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1211,13,26,24,6,1156314,1907795,2015,5/12/2015 12:42,41.90277505,-87.70127194,"(41.90277505, -87.701271937)"
10061319,HY249870,5/05/2015 22:00,036XX N RECREATION DR,1320,CRIMINAL DAMAGE,TO VEHICLE,PARK PROPERTY,FALSE,FALSE,1925,19,46,6,14,1171911,1925063,2015,5/12/2015 12:42,41.94982958,-87.64347132,"(41.949829578, -87.643471316)"
10059889,HY248711,5/05/2015 22:00,045XX S LECLAIRE AVE,820,THEFT,$500 AND UNDER,RESIDENCE,FALSE,TRUE,814,8,23,56,6,1143166,1873926,2015,5/12/2015 12:42,41.81008963,-87.750412,"(41.810089629, -87.750412001)"
10061453,HY250053,5/05/2015 22:00,045XX S HALSTED ST,460,BATTERY,SIMPLE,APARTMENT,TRUE,FALSE,925,9,11,61,08B,1171781,1874423,2015,5/12/2015 12:42,41.81087289,-87.64544119,"(41.81087289, -87.645441187)"
10060837,HY249334,5/05/2015 22:00,026XX N WAYNE AVE,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1932,19,32,7,6,1166894,1917798,2015,5/12/2015 12:42,41.9300034,-87.66212221,"(41.930003396, -87.662122209)"
10061078,HY249509,5/05/2015 22:00,029XX N TALMAN AVE,820,THEFT,$500 AND UNDER,RESIDENCE-GARAGE,FALSE,FALSE,1411,14,1,21,6,1158243,1919320,2015,5/12/2015 12:42,41.93436131,-87.6938707,"(41.934361308, -87.693870695)"
10064222,HY252543,5/05/2015 22:00,043XX N GREENVIEW AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESIDENCE,FALSE,FALSE,1912,19,47,6,11,1165245,1929004,2015,5/12/2015 12:42,41.96078847,-87.66786213,"(41.960788474, -87.66786213)"
10059902,HY248718,5/05/2015 22:00,075XX S STONY ISLAND AVE,460,BATTERY,SIMPLE,HOSPITAL BUILDING/GROUNDS,FALSE,FALSE,411,4,8,43,08B,1188272,1855209,2015,5/12/2015 12:42,41.75777004,-87.58556736,"(41.757770037, -87.585567361)"
10061433,HY250007,5/05/2015 22:00,039XX W WILCOX ST,890,THEFT,FROM BUILDING,APARTMENT,FALSE,FALSE,1122,11,28,26,6,1150110,1899085,2015,5/12/2015 12:42,41.87899707,-87.72428759,"(41.878997066, -87.724287588)"
10060211,HY248970,5/05/2015 22:00,002XX S ABERDEEN ST,820,THEFT,$500 AND UNDER,STREET,FALSE,FALSE,1232,12,2,28,6,1169130,1899098,2015,5/12/2015 12:42,41.87864113,-87.65444936,"(41.878641127, -87.654449361)"
10060726,HY249001,5/05/2015 22:00,058XX W NORTH AVE,890,THEFT,FROM BUILDING,RESIDENCE,FALSE,FALSE,2531,25,29,25,6,1136891,1909995,2015,5/12/2015 12:42,41.90918266,-87.77256422,"(41.909182655, -87.772564217)"
10059998,HY248830,5/05/2015 22:00,118XX S PEORIA ST,910,MOTOR VEHICLE THEFT,AUTOMOBILE,RESIDENTIAL YARD (FRONT/BACK),FALSE,FALSE,524,5,34,53,7,1172489,1826488,2015,5/12/2015 12:42,41.67931738,-87.64425229,"(41.679317377, -87.644252288)"
10061360,HY249937,5/05/2015 21:55,060XX S MICHIGAN AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,FALSE,311,3,20,40,08A,1178235,1864902,2015,5/12/2015 12:42,41.78460218,-87.62205763,"(41.784602176, -87.622057626)"
10059961,HY248751,5/05/2015 21:50,040XX W 18TH ST,870,THEFT,POCKET-PICKING,SIDEWALK,TRUE,FALSE,1012,10,24,29,6,1149635,1891034,2015,5/12/2015 12:42,41.85691342,-87.72624078,"(41.856913415, -87.72624078)"
10059954,HY248722,5/05/2015 21:50,014XX W HIGHLAND AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,STREET,FALSE,FALSE,2433,24,40,77,14,1165275,1942348,2015,5/12/2015 12:42,41.99740421,-87.66737042,"(41.997404207, -87.667370416)"
10059873,HY248695,5/05/2015 21:49,046XX N RACINE AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,SIDEWALK,TRUE,FALSE,1913,19,46,3,18,1167510,1930776,2015,5/12/2015 12:42,41.96560234,-87.65948364,"(41.965602335, -87.659483637)"
10059978,HY248763,5/05/2015 21:45,008XX N CAMPBELL AVE,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,TRUE,TRUE,1211,13,1,24,26,1159544,1905504,2015,5/12/2015 12:42,41.89642244,-87.6894707,"(41.896422438, -87.6894707)"
10059892,HY248705,5/05/2015 21:45,051XX W AUGUSTA BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,1531,15,37,25,08B,1141899,1906209,2015,5/12/2015 12:42,41.89870212,-87.75426072,"(41.898702122, -87.754260716)"
10061181,HY249725,5/05/2015 21:40,051XX W 44TH ST,810,THEFT,OVER $500,PARK PROPERTY,FALSE,FALSE,814,8,23,56,6,1142855,1875024,2015,5/12/2015 12:42,41.8131085,-87.75152546,"(41.813108497, -87.751525461)"
10059888,HY248692,5/05/2015 21:40,003XX W 109TH ST,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,TRUE,TRUE,513,5,34,49,08B,1176100,1832686,2015,5/12/2015 12:42,41.69624562,-87.63084955,"(41.696245617, -87.630849547)"
10059952,HY248707,5/05/2015 21:36,014XX W LAWRENCE AVE,2028,NARCOTICS,POSS: SYNTHETIC DRUGS,STREET,TRUE,FALSE,2033,20,46,3,18,1165637,1932010,2015,5/12/2015 12:42,41.96902869,-87.66633491,"(41.969028692, -87.66633491)"
